Count	NIS
0	0
1	74.7453
2	0.221136
3	1.8248
4	0.167625
5	7.7489
6	0.254795
7	6.38447
8	0.00948387
9	0.455424
10	1.21727
11	1.2445
12	2.04504
13	4.19328
14	0.391052
15	2.20629
16	13.2582
17	2.25583
18	2.28253
19	1.66417
20	1.48054
21	3.9417
22	4.13325
23	0.910246
24	0.372944
25	3.78051
26	3.65665
27	3.55998
28	0.600488
29	2.77307
30	0.687779
31	6.55076
32	0.947077
33	6.43834
34	0.84414
35	4.30524
36	2.65979
37	4.22291
38	1.14619
39	3.91249
40	2.09397
41	1.94146
42	2.03505
43	1.15636
44	0.586616
45	1.11447
46	1.0756
47	0.999696
48	3.30112
49	3.54627
50	2.34499
51	10.366
52	0.79525
53	0.18045
54	0.310533
55	1.78876
56	2.51625
57	3.81696
58	0.954443
59	2.32009
60	0.573086
61	1.0291
62	0.307662
63	1.68463
64	0.329372
65	0.736449
66	0.410777
67	4.36658
68	0.297205
69	1.82177
70	0.332139
71	3.43059
72	2.85234
73	1.04424
74	0.97369
75	0.525949
76	0.194398
77	0.137651
78	3.49342
79	0.625388
80	5.07024
81	4.46482
82	0.464281
83	0.42755
84	1.73048
85	2.50766
86	5.7247
87	0.793186
88	5.0387
89	1.00801
90	2.76764
91	2.72047
92	0.519163
93	6.76695
94	0.309664
95	2.69174
96	1.55858
97	4.78407
98	0.060595
99	9.7515
100	5.02587
101	4.24944
102	0.840532
103	2.81678
104	1.98228
105	2.13764
106	1.18602
107	1.39469
108	1.24554
109	0.808209
110	0.271467
111	1.39373
112	1.0974
113	3.45418
114	2.26108
115	7.39132
116	4.09971
117	1.56387
118	0.0457758
119	2.04964
120	1.03288
121	0.323139
122	0.0439749
123	6.00063
124	1.53278
125	6.35974
126	3.725
127	1.92315
128	0.891032
129	2.41401
130	1.30239
131	6.54625
132	0.335291
133	1.95865
134	0.484346
135	2.89428
136	2.81018
137	3.18654
138	0.758649
139	10.1291
140	0.752926
141	3.18253
142	1.34758
143	5.62298
144	1.72601
145	2.28484
146	0.62352
147	1.3672
148	0.826537
149	0.315956
150	2.03687
151	1.92315
152	0.194321
153	1.86339
154	1.69058
155	2.66305
156	0.261469
157	0.863986
158	1.72129
159	1.04403
160	0.596981
161	4.09256
162	0.482142
163	5.77905
164	3.5166
165	0.987679
166	1.6326
167	1.80388
168	1.29494
169	1.59078
170	1.79732
171	4.69941
172	2.72031
173	0.197572
174	0.124512
175	3.57288
176	3.693
177	0.225915
178	0.964765
179	0.378501
180	0.507155
181	2.69261
182	1.15036
183	2.24936
184	0.900179
185	1.66549
186	1.8789
187	4.51115
188	0.607775
189	1.46627
190	1.05229
191	1.41633
192	2.24667
193	6.82895
194	2.73119
195	3.43673
196	1.18729
197	2.46109
198	6.05767
199	3.0845
200	0.157984
201	2.16482
202	0.514003
203	5.01565
204	2.36077
205	0.936929
206	1.61992
207	2.37781
208	1.00728
209	0.896412
210	2.86713
211	1.9772
212	0.464506
213	2.04476
214	1.11947
215	3.58602
216	3.03556
217	1.02462
218	2.10925
219	1.0397
220	2.66221
221	3.87851
222	0.474326
223	3.74855
224	0.483874
225	2.64149
226	3.79194
227	2.38495
228	1.62411
229	2.05847
230	0.966192
231	1.9925
232	1.63242
233	0.385603
234	0.708692
235	2.61893
236	4.51092
237	1.62606
238	0.214781
239	2.94495
240	0.658722
241	5.33052
242	0.674097
243	5.24098
244	0.41693
245	1.7965
246	2.54596
247	4.12594
248	0.618252
249	3.05343
250	1.6437
251	1.92366
252	0.564366
253	0.427735
254	2.18731
255	2.02475
256	2.80337
257	1.26672
258	0.551681
259	3.83071
260	0.0235656
261	0.644411
262	1.536
263	0.29875
264	0.824251
265	3.63063
266	1.92525
267	0.459694
268	4.74696
269	1.04809
270	4.0354
271	5.43957
272	1.5438
273	5.95642
274	1.65669
275	3.97223
276	2.91547
277	5.15571
278	1.35592
279	2.81783
280	1.03883
281	3.66948
282	0.66782
283	2.88995
284	0.316215
285	0.914938
286	2.98687
287	0.312502
288	1.36724
289	4.49465
290	4.66466
291	0.451026
292	0.481136
293	0.40113
294	1.25317
295	2.52678
296	0.290333
297	4.20165
