Count	NIS
0	0
1	74.7453
2	74.7453
3	1.23806
4	1.23806
5	4.62185
6	4.62185
7	5.61566
8	5.61566
9	3.40148
10	3.40148
11	2.81602
12	2.81602
13	3.48982
14	3.48982
15	2.20953
16	2.20953
17	3.68222
18	3.68222
19	1.85104
20	1.85104
21	1.80917
22	1.80917
23	4.2968
24	4.2968
25	3.9996
26	3.9996
27	4.83532
28	4.83532
29	4.02572
30	4.02572
31	7.58527
32	7.58527
33	4.97802
34	4.97802
35	2.49125
36	2.49125
37	3.12446
38	3.12446
39	3.21276
40	3.21276
41	1.87009
42	1.87009
43	2.48593
44	2.48593
45	0.821706
46	0.821706
47	2.30483
48	2.30483
49	2.18634
50	2.18634
51	12.1779
52	12.1779
53	0.91199
54	0.91199
55	1.86226
56	1.86226
57	2.38154
58	2.38154
59	1.02993
60	1.02993
61	2.18348
62	2.18348
63	1.64874
64	1.64874
65	0.324463
66	0.324463
67	4.88664
68	4.88664
69	2.16966
70	2.16966
71	3.43689
72	3.43689
73	0.625026
74	0.625026
75	0.560451
76	0.560451
77	0.0426401
78	0.0426401
79	1.07384
80	1.07384
81	3.10064
82	3.10064
83	1.15296
84	1.15296
85	2.84517
86	2.84517
87	1.18701
88	1.18701
89	0.167146
90	0.167146
91	0.816173
92	0.816173
93	4.74893
94	4.74893
95	1.03686
96	1.03686
97	2.21378
98	2.21378
99	5.38065
100	5.38065
101	4.52612
102	4.52612
103	2.47357
104	2.47357
105	6.10159
106	6.10159
107	0.383689
108	0.383689
109	2.02987
110	2.02987
111	0.293989
112	0.293989
113	3.10066
114	3.10066
115	9.53119
116	9.53119
117	2.30204
118	2.30204
119	1.36359
120	1.36359
121	1.04329
122	1.04329
123	8.09188
124	8.09188
125	6.21219
126	6.21219
127	0.982667
128	0.982667
129	2.1378
130	2.1378
131	7.56837
132	7.56837
133	1.22135
134	1.22135
135	3.85189
136	3.85189
137	3.66097
138	3.66097
139	9.49097
140	9.49097
141	2.63876
142	2.63876
143	7.69262
144	7.69262
145	1.33554
146	1.33554
147	1.72087
148	1.72087
149	0.512116
150	0.512116
151	1.69177
152	1.69177
153	1.97796
154	1.97796
155	3.53055
156	3.53055
157	0.902577
158	0.902577
159	0.976715
160	0.976715
161	3.7639
162	3.7639
163	5.58773
164	5.58773
165	1.52917
166	1.52917
167	2.17856
168	2.17856
169	2.18257
170	2.18257
171	4.243
172	4.243
173	0.21593
174	0.21593
175	3.43964
176	3.43964
177	0.475287
178	0.475287
179	0.510619
180	0.510619
181	2.44973
182	2.44973
183	2.85896
184	2.85896
185	0.620986
186	0.620986
187	4.24324
188	4.24324
189	3.09152
190	3.09152
191	0.978028
192	0.978028
193	8.25665
194	8.25665
195	2.65771
196	2.65771
197	3.61122
198	3.61122
199	1.23648
200	1.23648
201	3.30102
202	3.30102
203	5.72181
204	5.72181
205	1.05814
206	1.05814
207	1.74291
208	1.74291
209	1.97296
210	1.97296
211	1.89022
212	1.89022
213	1.89413
214	1.89413
215	4.39697
216	4.39697
217	1.48271
218	1.48271
219	1.36269
220	1.36269
221	3.08845
222	3.08845
223	2.50921
224	2.50921
225	0.969884
226	0.969884
227	2.99474
228	2.99474
229	1.19344
230	1.19344
231	1.32225
232	1.32225
233	0.893136
234	0.893136
235	2.26887
236	2.26887
237	1.73891
238	1.73891
239	2.57406
240	2.57406
241	5.38895
242	5.38895
243	4.58172
244	4.58172
245	1.53882
246	1.53882
247	4.83852
248	4.83852
249	2.25356
250	2.25356
251	2.17887
252	2.17887
253	0.641035
254	0.641035
255	2.87124
256	2.87124
257	0.789544
258	0.789544
259	2.72297
260	2.72297
261	1.4891
262	1.4891
263	0.913284
264	0.913284
265	3.7015
266	3.7015
267	1.30695
268	1.30695
269	0.794572
270	0.794572
271	7.81382
272	7.81382
273	5.33464
274	5.33464
275	2.40536
276	2.40536
277	6.52544
278	6.52544
279	4.25544
280	4.25544
281	4.354
282	4.354
283	2.09052
284	2.09052
285	0.510769
286	0.510769
287	0.642379
288	0.642379
289	3.55091
290	3.55091
291	1.23912
292	1.23912
293	0.0584984
294	0.0584984
295	2.07202
296	2.07202
297	4.78934
